message,class
"Science is a way of thinking much more than it is a body of knowledge. - Carl Sagan",Yes
"Imagination is more important than knowledge. - Albert Einstein",Yes
"Somewhere, something incredible is waiting to be known. - Carl Sagan",Yes
"The important thing is not to stop questioning. Curiosity has its own reason for existing. - Albert Einstein",Yes
"The greatest enemy of knowledge is not ignorance, it is the illusion of knowledge. - Stephen Hawking",Yes
"Research is what I'm doing when I don't know what I'm doing. - Wernher von Braun",Yes
"An expert is a person who has made all the mistakes that can be made in a very narrow field. - Niels Bohr",Yes
"We cannot solve our problems with the same thinking we used when we created them. - Albert Einstein",Yes
"Science and everyday life cannot and should not be separated. - Rosalind Franklin",Yes
"The good thing about science is that it’s true whether or not you believe in it. - Neil deGrasse Tyson",Yes
"Why do we never see elephants hiding in trees? Because they’re so good at it!",No
"I told my wife she should embrace her mistakes. She gave me a hug.",No
"Why don't skeletons fight each other? They don't have the guts.",No
"Parallel lines have so much in common. It’s a shame they’ll never meet.",No
"Why can't your nose be 12 inches long? Because then it would be a foot!",No
"What do you call fake spaghetti? An impasta!",No
"I used to play piano by ear, but now I use my hands.",No
"Why did the scarecrow win an award? Because he was outstanding in his field!",No
"I would tell you a chemistry joke, but I know I wouldn’t get a reaction.",No
"Why did the bicycle fall over? Because it was two-tired!",No
